College Name,District,City,State,Total Students,Total Ideas,Endorsed Ideas,Incubated Ideas,Endorsement Rate
Mahatma Gandhi Arts, Science & Commerce College - Washim,Washim,Washim,Maharashtra,20,44,32,0,73%
Mahatma Gandhi Arts, Science & Commerce College - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,41,31,0,76%
P.R. Pote Patil College of Engineering and Management, Amravati,Amravati,Amravati,Maharashtra,3,2,0,0,0%
Prof. Ram Meghe Institute of Technology and Research - Akola,Akola,Akola,Maharashtra,20,42,26,0,62%
Prof. Ram Meghe Institute of Technology and Research - Amravati,Amravati,Amravati,Maharashtra,20,31,24,0,77%
Prof. Ram Meghe Institute of Technology and Research - Buldhana,Buldhana,Buldhana,Maharashtra,20,38,27,0,71%
Prof. Ram Meghe Institute of Technology and Research - Washim,Washim,Washim,Maharashtra,20,43,34,0,79%
Prof. Ram Meghe Institute of Technology and Research - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,38,28,0,74%
Shri Ramdeobaba College of Engineering - Akola,Akola,Akola,Maharashtra,20,30,26,0,87%
Shri Ramdeobaba College of Engineering - Amravati,Amravati,Amravati,Maharashtra,20,38,21,0,55%
Shri Ramdeobaba College of Engineering - Buldhana,Buldhana,Buldhana,Maharashtra,20,39,30,0,77%
Shri Ramdeobaba College of Engineering - Washim,Washim,Washim,Maharashtra,20,48,37,0,77%
Shri Ramdeobaba College of Engineering - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,36,29,0,81%
Shri Sant Gajanan Maharaj College of Engineering - Akola,Akola,Akola,Maharashtra,20,36,28,0,78%
Shri Sant Gajanan Maharaj College of Engineering - Amravati,Amravati,Amravati,Maharashtra,20,34,24,0,71%
Shri Sant Gajanan Maharaj College of Engineering - Buldhana,Buldhana,Buldhana,Maharashtra,20,39,27,0,69%
Shri Sant Gajanan Maharaj College of Engineering - Washim,Washim,Washim,Maharashtra,20,38,25,0,66%
Shri Sant Gajanan Maharaj College of Engineering - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,41,29,0,71%
Shri Sant Gajanan Maharaj College of Engineering, Shegaon,Shegaon,Shegaon,Maharashtra,3,1,0,1,0%
Shri Shivaji College of Engineering - Akola,Akola,Akola,Maharashtra,20,37,25,0,68%
Shri Shivaji College of Engineering - Amravati,Amravati,Amravati,Maharashtra,20,37,24,0,65%
Shri Shivaji College of Engineering - Buldhana,Buldhana,Buldhana,Maharashtra,20,46,34,1,74%
Shri Shivaji College of Engineering - Washim,Washim,Washim,Maharashtra,20,45,25,0,56%
Shri Shivaji College of Engineering - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,44,31,0,70%
Shri Shivaji Science College - Akola,Akola,Akola,Maharashtra,20,34,20,0,59%
Shri Shivaji Science College - Amravati,Amravati,Amravati,Maharashtra,20,44,25,0,57%
Shri Shivaji Science College - Buldhana,Buldhana,Buldhana,Maharashtra,20,40,26,0,65%
Shri Shivaji Science College - Washim,Washim,Washim,Maharashtra,20,40,27,0,68%
Shri Shivaji Science College - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,39,28,0,72%
Test College,N/A,Test City,Test State,1,4,0,0,0%
